[INFO] in thread 140581040805632: instrumenting function: mjs_bcode_part_get
[INFO] in thread 140582911461120: instrumenting function: mjs_is_object
[INFO] in thread 140584320747264: instrumenting function: json_prettify
[INFO] in thread 140581032412928: instrumenting function: mjs_ffi_args_free_list
[INFO] in thread 140581024020224: instrumenting function: gc_arena_destroy
[INFO] in thread 140583330899712: instrumenting function: ffi_set_double
[INFO] in thread 140581015627520: instrumenting function: mjs_create
[INFO] in thread 140581007234816: instrumenting function: gc_arena_init
[INFO] in thread 140580252284672: instrumenting function: mjs_ffi_sig_destructor
[INFO] in thread 140582450091776: instrumenting function: mjs_array_del
[INFO] in thread 140580243891968: instrumenting function: mjs_set_ffi_resolver
[INFO] in thread 140583297328896: instrumenting function: mjs_mk_object
[INFO] in thread 140580218713856: instrumenting function: mjs_prepend_errorf
[INFO] in thread 140580210321152: instrumenting function: mjs_print_error
[INFO] in thread 140580201928448: instrumenting function: mjs_strerror
[INFO] in thread 140579631519488: instrumenting function: mjs_own
[INFO] in thread 140579623126784: instrumenting function: mjs_disown
[INFO] in thread 140579597948672: instrumenting function: mjs_getretvalpos
[INFO] in thread 140580235499264: instrumenting function: push_mjs_val
[INFO] in thread 140579237259008: instrumenting function: mjs_return
[INFO] in thread 140584975050496: instrumenting function: json_fread
[INFO] in thread 140579228866304: instrumenting function: mjs_push
[INFO] in thread 140581057591040: instrumenting function: mjs_destroy
[INFO] in thread 140579195295488: instrumenting function: mjs_mem_set_ptr
[INFO] in thread 140579614734080: instrumenting function: mjs_nargs
[INFO] in thread 140579086255872: instrumenting function: mjs_mem_get_int
[INFO] in thread 140582466877184: instrumenting function: v_sprintf_s
[INFO] in thread 140579606341376: instrumenting function: mjs_stack_size
[INFO] in thread 140581284062976: instrumenting function: mjs_op_create_object
[INFO] in thread 140581275670272: instrumenting function: mjs_op_isnan
[INFO] in thread 140579648304896: instrumenting function: mjs_get_global
[INFO] in thread 140581837719296: instrumenting function: mjs_ffi_cb_free
[INFO] in thread 140578406774528: instrumenting function: mjs_apply
[INFO] in thread 140578398381824: instrumenting function: mjs_is_function
[INFO] in thread 140578389989120: instrumenting function: mjs_is_foreign
[INFO] in thread 140579077863168: instrumenting function: mjs_mem_set_uint
[INFO] in thread 140578155124480: instrumenting function: mjs_mk_number
[INFO] in thread 140583314114304: instrumenting function: ffi_call
[INFO] in thread 140579245651712: instrumenting function: mjs_arg
[INFO] in thread 140579061077760: instrumenting function: mjs_get_this
[INFO] in thread 140584991835904: instrumenting function: json_vfprintf
[INFO] in thread 140578138339072: instrumenting function: mjs_get_ptr
[INFO] in thread 140578129946368: instrumenting function: mjs_ffi_call2
[INFO] in thread 140578423559936: instrumenting function: mjs_exec_file
[INFO] in thread 140577693755136: instrumenting function: mjs_pop
[INFO] in thread 140579212080896: instrumenting function: mjs_mem_to_ptr
[INFO] in thread 140579639912192: instrumenting function: vptr
[INFO] in thread 140579103041280: instrumenting function: mjs_mem_set_dbl
[INFO] in thread 140577660184320: instrumenting function: gc_mark_val_array
[INFO] in thread 140582433306368: instrumenting function: mjs_array_push
[INFO] in thread 140577165276928: instrumenting function: gc_mark_mbuf_val
[INFO] in thread 140577156884224: instrumenting function: gc_mark_ffi_cbargs_list
[INFO] in thread 140578163517184: instrumenting function: mjs_get_func_addr
[INFO] in thread 140579069470464: instrumenting function: mjs_mem_set_int
[INFO] in thread 140577140098816: instrumenting function: read_input
[INFO] in thread 140578146731776: instrumenting function: call_stack_push_frame
[INFO] in thread 140577114920704: instrumenting function: new_object
[INFO] in thread 140578431952640: instrumenting function: mjs_exec_internal
[INFO] in thread 140576410294016: instrumenting function: mjs_get_own_property
[INFO] in thread 140577148491520: instrumenting function: gc_sweep
[INFO] in thread 140576401901312: instrumenting function: mjs_get_v
[INFO] in thread 140578415167232: instrumenting function: mjs_call
[INFO] in thread 140577685362432: instrumenting function: gc_compact_strings
[INFO] in thread 140579203688192: instrumenting function: mjs_mem_get_ptr
[INFO] in thread 140577668577024: instrumenting function: mjs_gc
[INFO] in thread 140575890208512: instrumenting function: mjs_get_own_property_v
[INFO] in thread 140575881815808: instrumenting function: mjs_set_internal
[INFO] in thread 140575848244992: instrumenting function: mjs_next
[INFO] in thread 140575839852288: instrumenting function: get_ptr
[INFO] in thread 140575344944896: instrumenting function: mjs_struct_to_obj
[INFO] in thread 140575336552192: instrumenting function: mjs_mk_boolean
[INFO] in thread 140575319766784: instrumenting function: mjs_is_null
[INFO] in thread 140580227106560: instrumenting function: mjs_set_errorf
[INFO] in thread 140574875182848: instrumenting function: get_double
[INFO] in thread 140574866790144: instrumenting function: mjs_get_int
[INFO] in thread 140576393508608: instrumenting function: mjs_to_string
[INFO] in thread 140574858397440: instrumenting function: mjs_get_int32
[INFO] in thread 140577676969728: instrumenting function: gc_string_val_from_offset
[INFO] in thread 140574850004736: instrumenting function: mjs_is_number
[INFO] in thread 140579111433984: instrumenting function: mjs_mem_get_dbl
[INFO] in thread 140575873423104: instrumenting function: mjs_set_v
[INFO] in thread 140574472529664: instrumenting function: mjs_mk_function
[INFO] in thread 140579094648576: instrumenting function: mjs_mem_get_uint
[INFO] in thread 140574455744256: instrumenting function: gc_strings_is_gc_needed
[INFO] in thread 140578171909888: instrumenting function: mjs_is_ffi_sig
[INFO] in thread 140574447351552: instrumenting function: embed_string
[INFO] in thread 140574438958848: instrumenting function: gc_string_mjs_val_to_offset
[INFO] in thread 140575353337600: instrumenting function: mjs_mk_foreign
[INFO] in thread 140577651791616: instrumenting function: gc_mark_mbuf_pt
[INFO] in thread 140574430566144: instrumenting function: mjs_get_cstring
[INFO] in thread 140573667223296: instrumenting function: mjs_typeof
[INFO] in thread 140573793048320: instrumenting function: mjs_get_type
[INFO] in thread 140573784655616: instrumenting function: mjs_jprintf
[INFO] in thread 140573767870208: instrumenting function: mjs_disasm
[INFO] in thread 140576427079424: instrumenting function: mjs_object_to_value
[INFO] in thread 140573759477504: instrumenting function: mjs_disasm_single
[INFO] in thread 140573801441024: instrumenting function: mjs_stringify_type
[INFO] in thread 140578121553664: instrumenting function: mjs_execute
[INFO] in thread 140573658830592: instrumenting function: mjs_dump_obj_stack
[INFO] in thread 140573650437888: instrumenting function: mjs_get_bcode_filename_by_offset
[INFO] in thread 140579220473600: instrumenting function: mjs_set_generate_jsc
[INFO] in thread 140573642045184: instrumenting function: mjs_bcode_part_get_by_offset
[INFO] in thread 140572719306496: instrumenting function: parse_value
